Codi,(km2)
431205,72.26
171432,45.1
81786,45.53
431212,51.31
171447,6.27
81799,17.79
431227,8.22
431233,52.82
251832,63.3
431248,7.99
431251,99.14
259059,54.47
251850,106.96
171450,41.87
171463,26.98
431264,8.76
251863,47.1
171479,73.71
81803,4.33
259139,12.34
171485,47.6
171498,23.6
431270,17.1
431286,19.46
171501,13.12
431299,32.43
171518,6.54
81810,36.9
431303,8.47
431310,16.5
81831,2.23
431325,8.49
431331,136.92
171523,45.91
251898,9.92
431346,2.32
81846,32.3
81859,48
171539,5.29
89019,47.81
81878,37.79
81884,44.6
251902,20.27
81901,66.4
171544,35.82
81918,65.22
431359,12.21
439057,15.13
171557,6.64
251919,32.99
81944,3.82
81957,13.22
81960,5.5
81976,11.83
171576,5.96
171833,47.73
81982,13.7
81995,34.4
82009,21.47
82016,19.53
431362,53.72
82037,15.68
82021,65.23
82042,10.81
171582,24.37
82055,48.23
82068,6.24
251961,92.87
82074,10.64
82080,18.56
171595,61.94
82107,15
171609,16.23
82114,11.82
171616,34.86
82129,22.36
171621,42.24
82093,13.15
82135,22.2
171637,49.17
251924,25.1
251977,12.45
171642,83.28
82153,0.92
81939,17.77
439023,60.79
82166,21.26
171655,6.75
431378,24.45
171674,53.67
171680,3.15
82188,16.42
82172,6.17
171851,31.94
171668,11.72
89030,11.79
171693,18.8
82205,15.94
179032,9.73
82212,7.81
82227,19.72
171714,31.84
251930,4.34
82233,41.11
82251,14.73
82248,25.55
171729,43.13
259025,34.9
82264,39.21
82270,35.27
82286,3.87
171735,17.52
82299,102.92
171740,33.22
171753,3.51
171766,7.53
171772,8.74
82310,40.8
82325,5.38
82331,55.13
82346,34.72
171788,18.45
81897,22.02
82359,7.53
82362,13.84
82378,8.1
82384,14.07
82397,26.21
251945,18.53
82401,18.96
82418,30.6
80983,37.15
82628,17.13
82649,8.05
82652,6.56
82634,9.12
431384,28.15
82439,8.63
82444,7.49
171805,70.64
82457,7
431397,33.85
171812,67.55
82460,7.01
82476,13.82
82482,14.23
82495,3.4
171827,1.94
82508,27.59
82515,17.16
82589,66.21
82536,24.73
82567,4.51
82554,52.08
82573,25.04
82592,16.94
431401,9.65
171848,49.01
82606,15.83
82613,12.63
81923,16.59
431423,52.39
171864,4.16
252017,87.51
252000,42.18
171870,11.36
431439,14.8
431444,17.77
171886,7.19
431457,35.31
431460,11.7
430445,108.41
252022,34.45
250352,29.62
82671,28.8
171903,17.38
252043,85.75
171910,7.91
171925,49.12
252038,15.45
82690,30.4
252056,8.12
171931,29.91
82704,43.85
170524,10.53
82711,13.79
252069,12.23
431476,21.37
252075,17.7
82726,31.73
252081,106.39
252094,105.05
252108,30.16
82732,55.9
252115,8.69
252120,12.66
82747,23.6
171946,50.61
82763,43.31
82779,29.43
252154,27.95
252167,30.11
171959,16.56
82785,26.48
431482,57.88
252173,88.36
252189,13.01
